#x  Curve1
-2.77556e-17  1.997
0.023313  2.01548
0.198773  2.06704
0.247853  2.11908
0.29816  2.18014
0.348466  2.25322
0.397546  2.33228
0.451534  2.48952
0.476074  2.64016
0.487117  2.73648
0.50184  2.962
