# x  Curve1
-2.31707  0.97743
-2  0.94558
-1.29878  0.81429
-1.0122  0.66658
-0.82317  0.51481
-0.68902  0.35926
-0.59756  0.21702
-0.52439  0.09847
-0.46951  0.03422
-0.44512  0.01058
