0.000000000000000000e+00 -2.839132478007592563e-03 4.807234383344590085e-03
5.580703168599243300e-03 2.401662641477311853e-04 5.821879399305449239e-03
1.674210950579773163e-02 6.017654108911962840e-02 1.624287336735852696e-02
3.311217213368884693e-02 3.092394559034888357e-01 3.953189032664158192e-02
4.966825820053327040e-02 5.454640678526780917e-01 3.020759047910560879e-02
6.622434426737769386e-02 7.898581624892251352e-01 9.277952719178660101e-02
9.189557884293421408e-02 1.319624727444248080e+00 1.135313797606999214e-01
1.188689774911638880e-01 2.382748286733546994e+00 1.193141319214910817e-01
1.456563527004402503e-01 3.710761886744058380e+00 8.269197161176479460e-02
1.635146028399578344e-01 4.335155554767274211e+00 9.111679590352812774e-02
1.986730328021330816e-01 6.024563137337575647e+00 5.848195964592792229e-02
2.667576114590438641e-01 9.588261498753192669e+00 4.328753657563764318e-02
3.167979165374837369e-01 1.250869789323038184e+01 3.234298368281727371e-02
